,,,
NOT COVERED,BY RIGHT,COVERED BY LEFT AND CENTRE,
"Bus services could be slashed within days without new cash pledge, warns Labour","Labour called on the Government to offer new guarantees under the Bus Recovery Grant as a crunch deadline looms for transport operators and passengersBus companies will start slashing hundreds of services in 10 days unless ministers provide funding guarantees, Labour warned today. The Government’s Bus Recovery Grant is set to expire at the end of March - and operators must give six weeks’ notice of plans to cancel or change routes. Labour’s analysis, based on figures by the Confederation of Passenger Transport released today, reveals more than 1,600 routes could be cut this spring - leaving England with fewer than 10,000 routes for the first time since records began. Over 1,100 routes have been axed in the last year alone. Shadow Transport Secretary Louise Haigh said: “The Conservatives are asleep at the wheel, risking the future of services millions of passengers depend on.” “They have 10 days to act, or services could plunge to a record low.” Read More
  Operators must give 42 days’ notice to the Traffic Commissioner to register changes to or withdrawals of routes. With current funding set to expire from the end of March, the last date for companies to announce cancellations will be February 17 - unless they get certainty from the Government. Buses are the most used mode of public transport in England – with 2.8 billion passenger journeys in 2021/22. But the CPT has warned that up to 15% of bus services in England are at risk unless the Bus Recovery Grant is renewed. Labour said a15% cut would see services fall from 10,941 to 9,300 – a fall of 1,641. It would be the first time they fell below 10,000 since the Traffic Commissioner watchdog began reporting figures. Last April, ministers announced that 31 areas in England, including Liverpool, Norfolk and Cornwall, had been chosen to receive funding from a £1.08bn pot of cash to boost bus services. In March 2021, the Government unveiled its £3bn bus “revolution”, promising “more frequent, reliable, easier to use and cheaper bus services”. The-then Prime Minister Boris Johnson trumpeted the “Bus Back Better” plan, saying: “Buses are lifelines and liberators, connecting people to jobs they couldn’t otherwise take, driving pensioners and young people to see their friends, sustaining town centres and protecting the environment. “As we build back from the pandemic, better buses will be one of our first acts of levelling-up.”  Labour today called on the Government to “give bus operators, communities and local leaders the certainty they need on the future of the Bus Recovery Grant”. The party also urged ministers to “come clean on wider long-term funding for the Bus Back Better strategy”. It said: “Over half of communities are seeing no funding whatsoever from the strategy, leaving the Government’s pledge to transform bus services in tatters.” Ms Haigh added: “After 13 years of the Conservatives, the bus services communities depend on are stumbling from one crisis to the next.” “Labour will reform the broken bus system, giving communities control of their own bus routes and fares, delivering the better bus services that passengers need.” The Department for Transport was contacted for comment. * Follow Mirror Politics on Snapchat, Tiktok, Twitter and Facebook ",https://www.mirror.co.uk/news/politics/bus-services-could-slashed-within-29147556,
Warning hundreds of England bus services face cuts,"Hundreds of bus services across England could be cut if government funding is not extended, the industry has warned. Up to 15% of services could be scrapped, according to the Confederation of Passenger Transport, which represents bus and coach firms. With government funding and the temporary £2 fare cap set to expire at the end of March, the industry is calling for a long term support plan. The Department for Transport has refused to comment on the issue. Buses are the most popular form of public transport in England. The government has provided £2bn to support bus firms during the pandemic when passenger numbers fell, but this help runs out at the end of next month. Passenger numbers have not returned to those seen before the pandemic. That, alongside rising fuel prices and driver shortages, are putting an increasing strain on commercial bus services. Even with the additional support over a thousand routes across England were lost last year. ""Sustained investment in maintaining bus services will unlock huge economic, health and environmental returns for the taxpayer and leverage further private sector investment in new technologies such as zero emission vehicles."" said Graham Vidler, chief executive of the Confederation of Passenger Transport (CPT). Labour has warned the government has ""ten days to act"" as operators need to give six weeks notice to register any changes or cuts to bus routes. Its analysis of the CPT's figures shows that if not, England could be left with fewer than 10,000 routes for the first time since records began.  The Shadow Transport Secretary Louse Haigh MP said ""the future of services millions of passengers depend on"" was at risk. A Conservative Party spokeswoman said its funding had already helped to mitigate the impact of the pandemic and maintain services. The Urban Transport group, a network of city transport authorities, says no long term funding plan makes ""a mockery"" of the £2 fare cap scheme ""if the very services the scheme was designed to promote were then scrapped"". ",https://www.bbc.co.uk/news/business-64557250,
Almost one in 10 local bus services axed over last year in Great Britain,"Exclusive: Cuts come despite government’s levelling up promise to improve transport connectivity. Almost one in 10 local bus services were axed in Great Britain in the last year despite government promises to improve local transport connectivity being a key pillar of its levelling up agenda. -----------------------------1The reductions – equivalent to more than 1,000 registered routes – follow the publication of a national bus strategy for England in 2021, aimed at improving routes and service frequencies. The figures suggest the “bus back better” strategy, conceived under the then prime minister Boris Johnson, has failed to halt the decline in local bus services. -----------------------------2A Guardian analysis of data from the Traffic Commissioners – the body responsible for registration of local bus services – found the number of live registered services fell 9.5% between January 2022 and 2023. -----------------------------3People in communities such as Sheffield, Bath, Lincoln or Stoke-on-Trent, among many others, told the Guardian how axed, unreliable or infrequently serviced bus routes had forced them to abandon medical appointments, house purchases or going to work. -----------------------------4A local bus service used to regularly take Rosa Kell, a disabled pensioner, from Wells in Somerset – often described as England’s smallest city – to Weston-super-Mare, where she would go shopping, meet a friend or visit her dentist. -----------------------------5“On 8 October, the local bus company, First, axed the service, because it was not commercially viable,” she said. “Passengers got a partial route reinstated. The new temporary service is insufficient for workers as it finishes at 5.40pm. It has left many schoolchildren arriving late for school or having to use taxis.” -----------------------------6From April, even this service is predicted to stop, when the government’s bus recovery grant runs out – an England-wide subsidy aimed at helping local bus services recover from the pandemic. The Guardian understands the Department for Transport (DfT) is considering long-term support for the bus sector from April. -----------------------------7“Rural residents are being abandoned by the government,” Kell said. “We’ll have no access to jobs, colleges, larger shops, GPs, or a social life. There is much talk of ‘levelling up’, but where is the level when we have nothing?” -----------------------------8Kell is one of hundreds of people who responded to a Guardian Community callout about public transport options. -----------------------------9Scores of people, many of them elderly, from cities and rural areas such as Somerset, Devon, Worcestershire, Hertfordshire, Lancashire and Cambridgeshire said they were practically stuck at home, cannot access healthcare, shops or education and have given up socialising. -----------------------------10Melissa, a mother and secondary school teacher from Hampshire, said her 12-year-old daughter developed chilblains, an inflammatory skin condition caused by overexposure to cold, after waiting for the bus for an hour at -5C on her way to school last December. -----------------------------11Since a local bus company went out of business last year, she said, pupils had been frequently late for school or left standing by the roadside because buses are too full to pick them up. -----------------------------12John, 53, an NHS call handler at a large Birmingham hospital, said delays of up to an hour on bus routes in the area caused hospital staff to arrive late for work, leaving emergency call handling “severely affected”. His partner, who also works for the hospital, has retired early as a result. “Her department is cut to the bone, but she’s had enough. I may follow suit soon, since I have to leave the house two hours before my shift starts to be on time now.” -----------------------------13Ellen Nierop, a healthcare assistant from Norwich, was one of several who told the Guardian that First Bus representatives were responding to complaints saying: “We are not a public service, we are here to make a profit.” -----------------------------14A First Bus spokesperson did not deny this message was given out to customers, but said the company was “doing everything we can to maintain reliable services” amid “challenging” driver shortages in some areas and “changing customer travel habits post Covid”. -----------------------------15Falling local bus registrations is a trend that has continued for over a decade, matched by a consistent decline in vehicle miles, passenger journeys, and local government funding. DfT figures show the number of miles driven by local buses in England fell 27% in the 10 years ending 2021-22. The pandemic has also had an impact, with a 16% reduction in miles driven between 2020-21 and 2021-22. Passenger journeys have continued to fall, especially on services outside London. -----------------------------16One of the government’s core 12 levelling up missions is to improve local transport connectivity across the UK to the standards of London by 2030. Last year, research by the Campaign for Better Transport found just 40% of transport authorities applying for funding under the bus back better strategy were allocated money, and those that were successful were only allocated 24% of what they had asked for. -----------------------------17Peter Travis, a co-chair of Somerset Bus Partnership, which was set up when bus back better was launched in March 2021, said drastic further cuts of bus routes were inevitable unless the bus recovery grant was extended beyond April. -----------------------------18“The high hopes for bus back better have been dashed as the government cannibalised that funding, designed to improve buses, and used it to keep buses running during Covid,” he said. -----------------------------19“It was going to offer an extraordinary transformation across England. Somerset asked for £165m and got £12m in April last year. We were grateful for the £12m, but we needed £165m to transform our transport here.” -----------------------------20The registration figures do not capture services that have not been de-registered but have instead had their timetables or routes reduced. Not all de-registrations will have meant a reduction in coverage: some operators have also been tidying up their registrations in recent years, and some de-registrations may reflect the removal of competing routes and services from multiple bus companies. -----------------------------21A DfT spokesperson said it was committed to the national bus strategy. They said: “We have invested £2bn to mitigate the impact of the pandemic and help maintain existing bus routes and over £1bn through bus service improvement plans, while still maintaining the annual £250m bus service operator grant to support services. -----------------------------22“We’ve also invested £60m to cap single bus tickets at £2 across England from 1 January to 31 March to tackle congestion and deliver real savings for passengers.” -----------------------------23Gill Page, a self-employed musician and festival director, lives in a village in the prime minister Rishi Sunak’s constituency of Richmond in North Yorkshire. -----------------------------24“Accessing health and other services is almost impossible without private transport in rural North Yorkshire. -----------------------------25“If you catch the local bus that runs once a day at 9.15 and returns at 12.15, it’s £8 for a return journey. Rishi Sunak is usually a good constituency MP, but these kinds of things just really don’t occur to him. There’s no practical need for these issues to occur to him.” -----------------------------26",https://www.theguardian.com/uk-news/2023/jan/24/almost-one-10-local-bus-services-axed-last-year-great-britain,
NOT FOUND IN RIGHT,,,
GAP,GAP,GAP,
NOT COVERED,BY RIGHT,COVERED BY LEFT AND CENTRE,
UK economy to go BACKWARDS in 2023 with worst performance of all major nations,"The UK is set to see its economy contract 0.6% this year according to the International Monetary Fund which will be the worst performance of all the advanced nations Brits are set for more misery this year as the economy will slam into reverse and it will see the worst performance of all the advanced nations, the International Monetary Fund (IMF) has warned. In its latest World Economic Outlook update, the IMF downgraded its UK gross domestic product (GDP) forecast once again, predicting a contraction of 0.6% against the 0.3% growth pencilled in last October as Britain looks set to suffer more than most from soaring inflation and higher interest rates. But it nudged up its outlook for UK growth in 2024 to 0.9%, up from the 0.6% expansion previously forecast. The grim outlook for the year ahead puts the UK far behind its counterparts in the G7 group of advanced nations and the only country - across advanced and emerging economies - expected by the IMF to suffer a year of declining GDP. Among the other G7 nations, the IMF's 2023 GDP predictions show growth of 1.4% in the United States, 0.1% in Germany, 0.7% in France, 0.6% in Italy, 1.8% in Japan and 1.5% in Canada.   It comes against a backdrop of public sector strikes over pay and predictions that the UK is heading for a recession, with inflation still standing at more than 10%. The IMF said Britain's predicted GDP fall reflects ""tighter fiscal and monetary policies and financial conditions and still-high energy retail prices weighing on household budgets"". It follows efforts by Chancellor Jeremy Hunt last week to talk up the UK economy and its growth prospects in his first major speech in the post, declaring that ""declinism about Britain was wrong in the past and it is wrong today"". The IMF offered a chink of light in the otherwise gloomy economic update, predicting that the global slowdown will be shallower than first feared. It upgraded its global growth forecast, to 2.9% in 2023 from the 2.7% predicted in October as it said the reopening of China after strict Covid restrictions has ""paved the way for a faster-than-expected recovery"".   The IMF also said it believes global inflation has passed its peak and will fall from 8.8% last year to 6.6% in 2023 and 4.3% in 2024 as interest rate hikes by central banks begin to cool demand and slow price rises. But it warned that, in the UK and Europe, surging prices and the impact of action taken to rein in inflation, will continue to weigh on the economy. It said: ""Consumer confidence and business sentiment have worsened. ""With inflation at about 10% or above in several euro area countries and the United Kingdom, household budgets remain stretched. ""The accelerated pace of rate increases by the Bank of England and the European Central Bank is tightening financial conditions and cooling demand in the housing sector and beyond."" Mr Hunt said: ""The Governor of the Bank of England recently said that any UK recession this year is likely to be shallower than previously predicted, however these figures confirm we are not immune to the pressures hitting nearly all advanced economies. ""Short-term challenges should not obscure our long-term prospects - the UK outperformed many forecasts last year, and if we stick to our plan to halve inflation, the UK is still predicted to grow faster than Germany and Japan over the coming years.""  ",https://www.mirror.co.uk/news/politics/uk-economy-go-backwards-2023-29091335,
UK economy likely to avoid recession - think tank,"The UK is likely to avoid a recession this year, an economic think tank has predicted. The National Institute of Economic and Social Research (NIESR) said the economy will grow marginally despite high prices hitting household budgets. But it warned while the UK may not fall into recession, it will feel like one for at least seven million households. The forecast comes ahead of figures showing how well the UK economy is doing, which are due on Friday. An economic recession is defined as when the economy shrinks for two consecutive three-month periods. If a country's economy shrinks, it means it's performing badly and typically, companies make less money and cut jobs leaving the government with less tax revenue to spend on public services. NIESR has predicted the economy will grow by 0.2% this year, with growth rising to 1% in 2024. The forecast paints a more optimistic picture than others, such as the Bank of England's. However NIESR's still warned the rising cost of living would mean for millions, particular in the North East of England and in parts of Scotland, Wales and Northern Ireland, it would feel like a recession.  Inflation, which is the rate prices rise at, has been hitting the budgets of UK households, with energy and food costs high. NIESR said one in four UK households - some seven million families - would be unable to meet in full their planned energy and food bills from their post-tax income in the 2023-24 financial year, up from around one in five in 2022-23. Middle-income households would face a hit to their disposable income ranging from 7% to 13%, reaching up to £4,000 in this financial year, its researchers added. It said as many people examine their finances, fewer will be able to retire early, meaning more workers between the ages of 50-64 will return to work.  The government has been considering plans to coax retired middle-aged workers back into jobs to boost the economy, with 300,000 fewer people in employment than before the pandemic.  A Treasury spokesperson, in response to the research by the NIESR, said the UK was not immune to global challenges of high inflation and slow growth.  The government reiterated it's a plan to halve inflation, which is at 10.5%, this year, but many economists expect this to happen anyway largely due to a slowdown in energy price rises and as post-pandemic supply problems ease. NIESR's forecast comes after several others, which have not gone as far as suggesting the UK economy will avoid recession. The Bank of England said last week the UK is set to enter recession this year but one which will be shorter and less severe than previously thought. The Bank has raised interest rates to 4% - their highest level in 14 years - in a bid to curb inflation. The Bank's governor Andrew Bailey explained that the slump it predicts is now expected to last just over a year rather than almost two, due to energy bills falling and price rises slowing down. Meanwhile, the International Monetary Fund (IMF), which works to stabilise economic growth, has predicted a more gloomy picture for the UK economy. It has forecast it to shrink and perform worse than other advanced economies, including Russia. Economic forecasters are not always right when it comes to predicting the future. For example, the IMF's forecasts have picked up fewer than 10% of recessions a year ahead of time, according to an analysis it conducted of recessions around the world between 1992 and 2014. ",https://www.bbc.co.uk/news/business-64553961,
"We’ve avoided recession for now, but the outlook is one of perma-gloom","December’s GDP was boosted by us all cranking up the heating. Actual economic growth has not looked so weak in decades. A glance back at 2022 will show that the economy held up better than some forecasters expected. The Bank of England was among many to expect the second half of last year to see the start of a recession that would stretch into 2023. -----------------------------1As it is, it now expects that, when they are published on Friday, official figures for gross domestic product (GDP) in the last three months of 2022 will show this was narrowly avoided. -----------------------------2In a heavily revised outlook published to accompany its decision to raise interest rates by half a percentage point to 4%, the Bank said the recession would instead begin this year and continue until spring 2024, indicating a shorter and shallower downturn than it was predicting in November. -----------------------------3City analysts mostly agree that the UK avoided a recession – defined as two consecutive quarters of contraction – at the end of last year. Investec said last week that a very mild month-on-month fall in output from November to December would still leave GDP 0.1% higher in the fourth quarter compared with the third, when GDP fell 0.3%. -----------------------------4Forecasts of GDP proved tricky during the pandemic. The stop-start nature of economic activity triggered dramatic falls and rises in output. Once the pandemic was out of the way, the Queen’s jubilee in June and her funeral three months later created more unexpected peaks and troughs. -----------------------------5To illustrate, December’s GDP number is likely to be saved from a deep fall by everyone having turned on their boilers and heaters in the cold weather, not a turnaround in manufacturing or some other good news. -----------------------------6As Investec economist Philip Shaw said in a note: “While strikes intensified during the month, weighing on output, we judge that the main driver will be that a cold month resulted in a boost to utility output.” -----------------------------7A look at the past three years, even the past decade, shows the trend for growth is modest and pay growth roughly flat. This means that by 2026, GDP will have just about recovered to its 2019 peak. -----------------------------8It is a grim picture, and one the Bank of England believes will stretch over the rest of the 2020s. -----------------------------9The Resolution Foundation says that while the Bank of England may have upgraded its economic outlook, with a shorter and shallower recession than it forecast last November, it also showed that the UK was “in the midst of the weakest 20-year period of growth since 1938”. -----------------------------10Torsten Bell, the thinktank’s chief executive, says this puts Britain on a path to “perma-stagnation” and at risk of “a prolonged, and far deeper, living standards downturn” than previously believed. -----------------------------11Bank of England governor Andrew Bailey justified raising interest rates for a 10th time, to 4%, in part because he said this scenario was relatively benign. He said the risks of inflation rebounding, and interest rates staying elevated, was high, with the risk of a return to soaring inflation being the highest in the monetary policy committee’s 25-year history. -----------------------------12Listening to Bailey was like tuning into a treatise by New York University economics professor Nouriel Roubini, who earned the nickname Dr Doom when he made a fuss about the calamitous betting by financial institutions before the 2008 financial crash. -----------------------------13Roubini has predicted that inflation will stay higher than all central banks expect, largely because the Ukraine war is just the first in a long line of global disputes that will harm trade and supply chains, and push up prices. -----------------------------14The Bank of England considers a return of high gas and commodity prices a threat, but what it fears the most is a dearth of people willing and able to work. And if there are not enough workers, employers will continue to bid up wages, which will translate into higher prices next year and the year after. -----------------------------15Yet even if neither comes to pass, the UK is still left with low investment, low wages growth and flat GDP. It’s not an appetising prospect. -----------------------------16",https://www.theguardian.com/business/2023/feb/05/weve-avoided-recession-for-now-but-the-outlook-is-one-of-perma-gloom,
